player_id,career_matches_played,career_batting_runs,career_batting_innings,career_bat_sr,career_bat_avg,career_bowling_wickets,career_bowling_innings,career_bow_econ,career_bow_sr,m12_matches_played,m12_batting_runs,m12_batting_innings,m12_bat_sr,m24_matches_played,m24_batting_runs,m24_batting_innings,m24_bat_sr
54462,16,130,13,112.06896551724138,,0,2,11.625,,16,130,13,112.06896551724138,,,,
54464,11,135,6,126.16822429906541,,,,,,11,135,6,126.16822429906541,,,,
54471,19,356,15,145.30612244897958,,10,10,5.464968152866242,15.7,,,,,,,,
54508,8,28,3,147.3684210526316,,6,6,6.107142857142857,18.666666666666668,8,28,3,147.3684210526316,,,,
54519,2,15,2,93.75,,0,1,14.571428571428571,,,,,,,,,
54528,5,60,5,105.26315789473684,,,,,,5,60,5,105.26315789473684,,,,
54538,2,17,1,121.42857142857143,,,,,,,,,,,,,
54541,18,44,8,112.82051282051282,,16,15,7.430769230769231,16.25,12,19,4,105.55555555555556,,,,
54544,3,54,2,108,,4,2,9.5,9,3,54,2,108,,,,
54586,4,36,3,116.12903225806451,,,,,,,,,,,,,
54600,3,52,3,123.80952380952381,,2,1,6,3,3,52,3,123.80952380952381,,,,
5471,20,267,15,114.5922746781116,,,,,,10,192,7,132.41379310344828,2,28,1,280
548,8,27,3,180,,9,8,8.594594594594595,16.444444444444443,8,27,3,180,8,27,3,180
54811,3,5,1,55.55555555555556,,0,3,10.821428571428571,,3,5,1,55.55555555555556,,,,
54817,3,41,3,205,,2,2,9.913043478,11.5,3,41,3,205,,,,
54818,7,1,1,25,,5,5,6.1875,19.2,,,,,,,,
54831,5,144,5,102.12765957446808,,,,,,5,144,5,102.12765957446808,,,,
54836,2,0,1,0,,,,,,2,0,1,0,,,,
54839,7,26,2,118.18181818181819,,,,,,7,26,2,118.18181818181819,,,,
54842,10,1,1,50,,12,10,4.9655172413793105,14.5,10,1,1,50,,,,
54846,3,6,2,66.66666666666667,,,,,,3,6,2,66.66666666666667,,,,
54847,5,25,4,71.42857142857143,,4,5,6.508474576271187,29.5,5,25,4,71.42857142857143,,,,
54848,5,21,4,87.5,,,,,,5,21,4,87.5,,,,
54849,3,12,3,66.66666666666667,,,,,,3,12,3,66.66666666666667,,,,
54850,5,30,5,83.33333333333333,,3,3,15.6,8.333333333333334,5,30,5,83.33333333333333,,,,
54851,5,30,4,120,,,,,,5,30,4,120,,,,
54852,5,16,4,88.88888888888889,,4,5,7.444444444444445,27,5,16,4,88.88888888888889,,,,
54853,5,54,5,72,,,,,,5,54,5,72,,,,
54854,4,85,4,101.19047619047619,,4,4,6.394736842105263,19,4,85,4,101.19047619047619,,,,
54855,5,0,1,0,,,,,,5,0,1,0,,,,
54856,5,1,1,50,,3,4,6.923076923076923,26,5,1,1,50,,,,
54857,5,114,5,97.43589743589743,,10,5,6.932038834951456,10.3,5,114,5,97.43589743589743,,,,
54866,2,7,1,77.77777777777777,,1,1,8.068965517241379,29,2,7,1,77.77777777777777,,,,
54867,4,44,4,110,,,,,,4,44,4,110,,,,
54869,1,6,1,60,,,,,,1,6,1,60,,,,
54870,6,1,1,33.333333333333336,,2,5,7.175257731958763,48.5,4,1,1,33.333333333333336,,,,
54871,5,2,3,28.571428571428573,,,,,,5,2,3,28.571428571428573,,,,
54872,4,19,3,63.333333333333336,,0,3,8.5,,4,19,3,63.333333333333336,,,,
54873,3,41,3,102.5,,,,,,3,41,3,102.5,,,,
54874,2,17,2,141.66666666666666,,,,,,2,17,2,141.66666666666666,,,,
54875,1,18,1,138.46153846153845,,,,,,1,18,1,138.46153846153845,,,,
54877,2,2,1,22.22222222222222,,,,,,2,2,1,22.22222222222222,,,,
54879,2,11,2,61.111111111111114,,,,,,2,11,2,61.111111111111114,,,,
54880,5,82,4,134.4262295081967,,,,,,5,82,4,134.4262295081967,,,,
54881,5,38,3,158.33333333333334,,,,,,5,38,3,158.33333333333334,,,,
54884,1,0,1,0,,,,,,1,0,1,0,,,,
54887,5,66,5,103.125,,,,,,5,66,5,103.125,,,,
54888,4,22,3,95.65217391304348,,2,4,6.8076923076923075,26,4,22,3,95.65217391304348,,,,
54889,5,4,3,57.142857142857146,,4,5,6.711864406779661,29.5,5,4,3,57.142857142857146,,,,
54892,2,15,2,65.21739130434783,,,,,,2,15,2,65.21739130434783,,,,
54893,1,1,1,25,,,,,,1,1,1,25,,,,
54894,3,57,3,72.15189873417721,,0,1,14.571428571428571,,3,57,3,72.15189873417721,,,,
