player_id,player_name,career_is_capped,cap_prob_gb,cap_prob_gb_age,career_role_guess,career_batting_runs,career_bat_avg,career_bat_sr,career_bowling_wickets,career_bow_econ,career_matches_played,career_age_years,venue_fit_score,runs_slope,wk_slope
43592,S Pradeep Roshan,False,0.0001238588990026836,0.0001238588990026836,finisher,8.0,,50.0,0.0,9.0,4.0,22.08,50.0,,
43593,Janmejay Joshi,True,0.9907400770764773,0.9907400770764773,finishing allrounder,1.0,,25.0,5.0,8.64864864864865,7.0,24.43,25.0,,0.4999999999999999
43594,Anup Ahlawat,False,0.0017917088136604102,0.0017917088136604102,opener,170.0,,204.81927710843374,,,4.0,25.04,204.81927710843374,,
4362,Aditya Garhwal,False,0.0030208614435180475,0.0030208614435180475,top/middle,376.0,,161.37339055793993,1.0,13.5,14.0,29.62,1.1197340523405719,79.49999999999999,
4367,Barinder Sran,False,0.0009229346731970426,0.0007844944722174862,batting allrounder,160.0,,144.14414414414415,12.0,8.219653179190752,9.0,32.96,144.14414414414415,,
4368,Sagar Trivedi,False,0.0001729537124304413,0.0001470106555658751,finishing allrounder,18.0,,112.5,1.0,12.96774193548387,2.0,34.11,112.5,,
4369,Shai Hope,True,0.999999999630679,0.8499999996860771,top/middle,1478.0,,133.7556561085973,,,56.0,32.04,2.541425108862294,152.79999999999998,
4372,Rony Talukder,False,1.3723444289090728e-06,9.60641100236351e-07,opener,1059.0,,120.75256556442417,,,48.0,35.13,8.240529481081392,12.300000000000002,
4373,Mustafizur Rahman,True,0.9999999991420154,0.9999999991420154,finishing allrounder,70.0,,62.5,166.0,6.947017413856984,121.0,30.22,1.7537180075577183,2.4,1.8
43774,Shivam Singh,False,0.018189861837810985,0.018189861837810985,top/middle,1049.0,,131.9496855345912,0.0,2.4,29.0,30.01,1.9572020194594544,86.59999999999997,
43798,Lhuan Pretorius,False,0.1415317495797155,0.1415317495797155,top/middle,52.0,,123.80952380952381,,,5.0,19.67,1.2536914343965149,,
43815,Ayudh Sharma,False,9.806049419461305e-06,9.806049419461305e-06,top/middle,237.0,,118.5,,,12.0,27.76,118.5,-112.99999999999997,
43899,Aryan Anil Bhatia,False,4.434921474484874e-05,4.434921474484874e-05,finisher,200.0,,116.95906432748538,1.0,12.387096774193548,14.0,21.15,116.95906432748538,89.99999999999997,-0.9999999999999998
43900,Ashish Lawrence,False,1.7420313267200188e-05,1.7420313267200188e-05,finishing allrounder,11.0,,100.0,5.0,9.381818181818181,6.0,23.22,100.0,8.999999999999996,-2.9999999999999996
43901,Jaskirat Singh,False,5.5306990082209735e-05,5.5306990082209735e-05,finisher,5.0,,50.0,0.0,8.823529411764707,3.0,21.73,50.0,,
43902,Kawalpreet Singh,False,0.0007922716412642661,0.0007922716412642661,finishing allrounder,59.0,,131.11111111111111,2.0,9.801980198019802,5.0,24.62,131.11111111111111,,
43903,Ansul Chaudhary,False,4.935225923138434e-06,4.935225923138434e-06,opener,543.0,,131.79611650485438,,,18.0,24.97,131.79611650485438,-132.49999999999994,
43904,Manpreet Singh,False,3.236968949176375e-05,3.236968949176375e-05,batting allrounder,68.0,,101.49253731343283,1.0,11.2987012987013,9.0,27.27,101.49253731343283,-9.999999999999996,-0.4999999999999998
43905,Prabhjot Singh,False,1.347539371229602e-05,1.347539371229602e-05,top/middle,182.0,,113.75,,,7.0,31.13,113.75,,
43906,Vaibhav Sehdev,False,1.7432200601553996e-05,1.7432200601553996e-05,finisher,64.0,,168.42105263157896,2.0,11.052631578947368,4.0,26.58,168.42105263157896,57.99999999999998,0.0
43907,Mridul Sandal,False,2.961239004384751e-06,2.961239004384751e-06,finisher,124.0,,96.875,,,22.0,21.32,96.875,5.999999999999993,
43908,Sumit Sharma,False,1.988203190607433e-06,1.988203190607433e-06,finishing allrounder,123.0,,111.81818181818181,18.0,9.090909090909092,18.0,25.22,111.81818181818181,-11.500000000000002,1.4999999999999993
43909,Madhav Pathania,False,0.00024005033041165445,0.00024005033041165445,finishing allrounder,312.0,,120.0,15.0,8.03125,25.0,25.15,120.0,-19.000000000000004,-4.499999999999998
4391,Liam Livingstone,True,0.9999999999724427,0.8499999999765763,batting allrounder,1747.0,,147.42616033755274,35.0,8.75699558173785,83.0,32.31,2.802296296742274,-34.199999999999996,0.5000000000000004
43910,Kunwar Kukreja,False,0.0007330262068354854,0.0007330262068354854,finishing allrounder,0.0,,0.0,17.0,7.956112852664577,18.0,25.48,0.0,0.0,-2.9999999999999996
43913,Kunal Vishwa,False,0.006022847557381397,0.006022847557381397,finishing allrounder,9.0,,128.57142857142858,1.0,10.285714285714286,3.0,26.08,128.57142857142858,,
43914,Aryan Sharma,False,0.008837463285794414,0.008837463285794414,top/middle,57.0,,107.54716981132076,,,7.0,21.15,107.54716981132076,-44.999999999999986,
43915,Aditya Marshal,False,0.001687064235074342,0.001687064235074342,finisher,0.0,,0.0,0.0,11.538461538461538,1.0,20.87,0.0,,
43916,Kamaljit Singh,False,0.011545713610571912,0.011545713610571912,top/middle,64.0,,123.07692307692308,,,5.0,,123.07692307692308,,
43917,Krish Ashwani Bhagat,False,5.645227963301942e-05,5.645227963301942e-05,finishing allrounder,59.0,,103.50877192982456,20.0,8.064356435643564,20.0,21.05,103.50877192982456,-0.5000000000000001,-1.9999999999999996
43918,Varinder Singh,False,0.009453033008396944,0.009453033008396944,batting allrounder,150.0,,133.92857142857142,7.0,8.63551401869159,12.0,19.62,6.133204135761982,-15.999999999999996,1.4999999999999991
43919,Aryan Yadav,False,6.561985379137622e-05,6.561985379137622e-05,top/middle,141.0,,114.63414634146342,1.0,7.666666666666667,9.0,17.62,114.63414634146342,136.99999999999997,
43920,Jaish Jain,False,1.4277349726329694e-05,1.4277349726329694e-05,opener,157.0,,115.44117647058823,,,10.0,24.23,115.44117647058823,,
43921,Mandeep Inder Bawa,False,0.006216708441647733,0.006216708441647733,top/middle,51.0,,110.8695652173913,,,5.0,29.16,110.8695652173913,,
43922,Anshul Negi,False,0.2390650270109199,0.2390650270109199,finishing allrounder,1.0,,50.0,0.0,10.2,3.0,23.49,50.0,,
43923,Sahaj Dhawan,False,2.3771609036624286e-08,2.3771609036624286e-08,opener,584.0,,135.1851851851852,,,27.0,25.88,135.1851851851852,-144.49999999999991,
